noAnggota,link_foto,link_profil,nama,fraksi,dapil,akd_clean,ttl,agama,pendidikan,pekerjaan,organisasi,kotaLahir,usia,pendidikan_terakhir,is_kader,is_dewan,usia_kategori,rank_partai,partai
1,http://www.dpr.go.id//doksigota/photo/1320.jpg,http://www.dpr.go.id//blog/profil/id/1320,"H. IRMAWAN, S.Sos., M.M.",Fraksi Partai Kebangkitan Bangsa,ACEH I,"['Panitia Khusus', 'Komisi V']",Aceh Tenggara / 21 Desember 1967,Islam,"
<div class=""stitle"">Riwayat Pendidikan</div>
<ul class=""custom-button"">
<li>SD , SD Rema Bari. Tahun:  - 1979</li><li>SMP , SMP I Blangkejeran. Tahun:  - 1982</li><li>SMA , SMA Blangkejeran. Tahun:  - 1985</li><li>DIPLOMA , Diploma 3 Unsyiah. Tahun:  - 1988</li><li>S1 , Pisipol Medan Area. Tahun:  - 2000</li><li>S2 , Magister Management. Tahun:  - 2003</li> </ul>
","
<div class=""stitle"">Riwayat Pekerjaan</div>
<ul class=""custom-button"">
<li>Anggota DPR RI, Sebagai: . Tahun: 2014 - 2019</li><li>Komisi I, Sebagai: Anggota. Tahun: 2014 - 2019</li><li>2. Anggota DPRD Provinsi, Sebagai: Anggota. Tahun: 2009 - 2014</li><li>1. Pegawai Negeri Sipil, Sebagai: . Tahun: 1994 - 2008</li> </ul>
","
<div class=""stitle"">Riwayat Organisasi</div>
<ul class=""custom-button"">
<li>5. DPW PKB Aceh, Sebagai: Ketua. Tahun: 2010 - 2014</li><li>4. Gayo Musara Aceh tenggara, Sebagai: Ketua. Tahun: 2008 - </li><li>3. DPD KNPI Gayo Lues, Sebagai: Ketua. Tahun: 2004 - </li><li>2. Senat Fak. Ekonomi Unsyiah, Sebagai: . Tahun: 1987 - </li><li>1. OSIS SMA, Sebagai: Ketua. Tahun: 1984 - </li> </ul>
",Aceh Tenggara,53.0,5_s2,internal,dewan,"(49.0, 55.0]",5.0,PKB
2,http://www.dpr.go.id//doksigota/photo/1745.jpg,http://www.dpr.go.id//blog/profil/id/1745,RUSLAN M. DAUD,Fraksi Partai Kebangkitan Bangsa,ACEH II,"['Panitia Khusus', 'Komisi V']",Samalanga / 11 Mei 1970,Islam,"
<div class=""stitle"">Riwayat Pendidikan</div>
<ul class=""custom-button"">
<li>SD , SD Simplang Mamplam. Tahun: 1979 - 1985</li><li>SMP , SMP Pandrah. Tahun: 1985 - 1989</li><li>SMA , LPI Mudi Mesra Samalanga. Tahun: 1989 - 1999</li><li>S1 Manajemen, STIE Indonesia Medan. Tahun:  - 2018</li> </ul>
","
<div class=""stitle"">Riwayat Pekerjaan</div>
<ul class=""custom-button"">
<li>Pemerintahan Kabupaten Bireuen, Sebagai: Bupati Kabupaten Bireuen. Tahun: 2012 - 2017</li><li>Meoligoe Hotel, Sebagai: Direktur Utama. Tahun:  - </li><li>Meoligoe Resto, Sebagai: Direktur Utama. Tahun:  - </li><li>Jumpa Elektronic (Distributor Electronic), Sebagai: Direktur Utama. Tahun:  - </li><li>Percetakan dan Printing, Sebagai: Direktur Utama. Tahun:  - </li><li>Cv.Meoligoe Property, Sebagai: Direktur Utama. Tahun:  - </li><li>Mini Market, Sebagai: Direktur Utama. Tahun:  - </li> </ul>
","
<div class=""stitle"">Riwayat Organisasi</div>
<ul class=""custom-button"">
<li>TASTAFI ACEH, Sebagai: Wakil Ketua Defisi, Organisasi dan KLMBG. Tahun: 2018 - 2019</li><li>AKSIRA, Sebagai: Ketua AKSIRA Aceh. Tahun: 2017 - </li><li>KNPI, Sebagai: Ketua Dewan Pembina. Tahun: 2016 - </li><li>PMI, Sebagai: Ketua dewan Pembina. Tahun: 2015 - </li><li>Club Motor Trail Biroad Comunity, Sebagai: Dewan Penasehat. Tahun: 2015 - 2019</li><li>Himpunan Pengusaha Muda Indonesia, Sebagai: Ketua Dewan Pembina. Tahun: 2014 - </li><li>Pengurus PcNU Kabupaten Bireuen, Sebagai: A'Wan. Tahun: 2014 - 2019</li><li>Gerakan Pramuka, Sebagai: Ketua majelis Pembimbing Caba. Tahun: 2013 - 2018</li><li>Forum Kerukunan Masyarakat Bireuen, Sebagai: Dewan Penasehat. Tahun: 2013 - 2019</li><li>Pelajar Islam Indoneia (PII), Sebagai: Ketua dewan Pembina. Tahun: 2012 - 2013</li> </ul>
",Samalanga,50.0,4_s1,eksternal,non-dewan,"(49.0, 55.0]",5.0,PKB
3,http://www.dpr.go.id//doksigota/photo/1333.jpg,http://www.dpr.go.id//blog/profil/id/1333,H. MARWAN DASOPANG,Fraksi Partai Kebangkitan Bangsa,SUMATERA UTARA II,"['Komisi VIII', 'Panitia Khusus']",Pangikiran / 12 Juni 1962,Islam,"
<div class=""stitle"">Riwayat Pendidikan</div>
<ul class=""custom-button"">
<li>SD , . Tahun:  - 1976</li><li>SMP , Tsanawiyah. Tahun:  - 1980</li><li>SMA , Aliyah. Tahun:  - 1983</li><li>S1 Peradilan Agama, IAIN Sumatera Utara. Tahun:  - 1989</li><li>S2 Ilmu Administrasi, Krisna Dwi Payana. Tahun:  - 2016</li> </ul>
","
<div class=""stitle"">Riwayat Pekerjaan</div>
<ul class=""custom-button"">
<li>5. DPR RI, Sebagai: Anggota. Tahun: 2019 - 2024</li><li>4. DPR RI, Sebagai: Anggota. Tahun: 2014 - 2019</li><li>2. Kementerian PDT, Sebagai: Tenaga Ahli. Tahun: 2009 - 2014</li><li>3. Yayasan Panji Aswaja, Sebagai: Ketua. Tahun: 2009 - 2014</li><li>1. CV. Surya Lestari, Sebagai: Direktur Operasional. Tahun: 1997 - </li> </ul>
","
<div class=""stitle"">Riwayat Organisasi</div>
<ul class=""custom-button"">
<li>5. DPW PKB Sumatera Utara, Sebagai: Ketua. Tahun: 2007 - </li><li>PKB, Sebagai: Sekretaris. Tahun: 1999 - 2004</li><li>4. PW. NU Sumatera Utara, Sebagai: Sekretaris Wilayah. Tahun: 1995 - 1999</li><li>3. KNPI Sumatera Utara, Sebagai: Ketua Biro pemuda. Tahun: 1992 - 1994</li><li>2. GP Ansor, Sebagai: Sekretaris. Tahun: 1990 - 1995</li><li>1. PMII, Sebagai: Ketua Cabang. Tahun: 1988 - 1989</li><li>DPP PKB, Sebagai: Ketua Bidang. Tahun:  - </li> </ul>
",Pangikiran,58.0,5_s2,internal,dewan,"(55.0, 61.0]",5.0,PKB
4,http://www.dpr.go.id//doksigota/photo/1746.jpg,http://www.dpr.go.id//blog/profil/id/1746,"ABDUL WAHID, S.Pd.I.",Fraksi Partai Kebangkitan Bangsa,RIAU II,"['Komisi VII', 'Panitia Khusus', 'Badan Legislasi']",Belaras  / 21 Nopember 1980,Islam,"
<div class=""stitle"">Riwayat Pendidikan</div>
<ul class=""custom-button"">
<li>SD , SDN SEI.SIMBAR. Tahun:  - 1994</li><li>SMP , Mts. SEI. SEMBAR. Tahun:  - 1997</li><li>SMA , MAN BUKIT TINGGI. Tahun:  - 2000</li><li>S1 PENDIDIKAN ISLAM, UIN SUSKA RIAU. Tahun:  - 2004</li> </ul>
","
<div class=""stitle"">Riwayat Pekerjaan</div>
<ul class=""custom-button"">
<li>DPRD Prov. Riau, Sebagai: Ketua Fraksi PKB. Tahun: 2009 - 2019</li><li>PT. Malay Nusantara Cipta, Sebagai: Direktur. Tahun: 2002 - </li> </ul>
","
<div class=""stitle"">Riwayat Organisasi</div>
<ul class=""custom-button"">
<li>Persatuan Tenis Meja Seluruh Indonesia, Sebagai: Ketua Umum. Tahun: 2016 - </li><li>DPW PKB Provinsi Riau, Sebagai: Ketua Tnfidz. Tahun: 2011 - 2021</li><li>PW. NU Prov Riau, Sebagai: Wakil Ketua Tanfidziah. Tahun: 2011 - 2017</li><li>DPW PKB Provinsi Riau, Sebagai: Sekretaris Tanfidz. Tahun: 2006 - 2011</li><li>DPW PKB Provinsi Riau, Sebagai: Wakil Sekretaris. Tahun: 2004 - 2009</li><li>PC. HMI, Sebagai: Wakil Sekretaris. Tahun: 2002 - 2003</li><li>DPW PKB Provinsi Riau, Sebagai: Wakil Sekretaris. Tahun: 2002 - 2006</li> </ul>
",Belaras ,40.0,4_s1,internal,dewan,"(23.0, 44.0]",5.0,PKB
5,http://www.dpr.go.id//doksigota/photo/1747.jpg,http://www.dpr.go.id//blog/profil/id/1747,"SOFYAN ALI, S.Ag., S.H., M.Pd.",Fraksi Partai Kebangkitan Bangsa,JAMBI,"['Badan Anggaran', 'Panitia Khusus', 'Komisi V']",Kota Jambi / 20 Oktober 1973,Islam,"
<div class=""stitle"">Riwayat Pendidikan</div>
<ul class=""custom-button"">
<li>SD , SDN 22 Buluran Kenali. Tahun: 1980 - 1986</li><li>SMP , SMP DB 2 Kota Jambi. Tahun: 1986 - 1989</li><li>SMA IPA, SMAS 2 Mei Kota Jambi. Tahun: 1989 - 1992</li><li>S1 Ushuluddin, IAIN STS Jambi. Tahun: 1993 - 1997</li><li>S1 Hukum , Universitas Jambi. Tahun: 2006 - 2009</li><li>S2 Manajemen Pendidikan, IAIN STS Jambi. Tahun: 2000 - 2004</li> </ul>
","
<div class=""stitle"">Riwayat Pekerjaan</div>
<ul class=""custom-button"">
<li>DPRD Provinsi Jambi, Sebagai: Ketua Fraksi PKB. Tahun: 2014 - 2019</li> </ul>
","
<div class=""stitle"">Riwayat Organisasi</div>
<ul class=""custom-button"">
<li>ANSOR, Sebagai: Dewan Pembina. Tahun: 2017 - Skrg</li><li>ISNU, Sebagai: Dewan Penasehat. Tahun: 2017 - Skrg</li><li>DPW PKB Provinsi Jambi, Sebagai: Ketua. Tahun: 2013 - Skrg</li><li>DPW PKB Provinsi Jambi, Sebagai: Sekretaris. Tahun: 2007 - 2011</li><li>DPW PKB Provinsi Jambi, Sebagai: Wakil Sekretaris dewan Syuro. Tahun: 2004 - 2007</li><li>DPC PKB Kota Jambi, Sebagai: Wakil Ketua. Tahun: 2001 - 2003</li><li>IPNU, Sebagai: Anggota. Tahun:  - </li><li>PMII, Sebagai: Anggota. Tahun:  - </li> </ul>
",Kota Jambi,47.0,5_s2,internal,dewan,"(44.0, 49.0]",5.0,PKB
6,http://www.dpr.go.id//doksigota/photo/1367.jpg,http://www.dpr.go.id//blog/profil/id/1367,"BERTU MERLAS, ST",Fraksi Partai Kebangkitan Bangsa,SUMATERA SELATAN II,"['Komisi XI', 'Badan Anggaran', 'Panitia Khusus']",Belitang Oku / 02 Oktober 1975,Islam,"
<div class=""stitle"">Riwayat Pendidikan</div>
<ul class=""custom-button"">
<li>SD , SDN I Sidomulyo. Tahun: 1982 - 1988</li><li>SMP , SMPN I Belitang. Tahun: 1988 - 1991</li><li>SMA , SMAN I Belitang. Tahun: 1991 - 1993</li><li>S1 Teknik Sipil, Universitas Bandar Lampung. Tahun: 1994 - 1998</li> </ul>
","
<div class=""stitle"">Riwayat Pekerjaan</div>
<ul class=""custom-button"">
<li>1. PT. Gragasi Gani Sakti, Sebagai: Direktur. Tahun: 1999 - 2014</li> </ul>
","
<div class=""stitle"">Riwayat Organisasi</div>
<ul class=""custom-button"">
<li>2. FOKKU, Sebagai: Bendahara. Tahun: 2012 - </li><li>3. LANIPUNG SAI, Sebagai: Ketua DPD. Tahun: 2011 - </li><li>1. Asosiasi Asphali Beton Indonesia, Sebagai: Wakil Ketua DPD Sumsel. Tahun: 2002 - 2008</li> </ul>
",Belitang Oku,45.0,4_s1,eksternal,non-dewan,"(44.0, 49.0]",5.0,PKB
7,http://www.dpr.go.id//doksigota/photo/1748.jpg,http://www.dpr.go.id//blog/profil/id/1748,"Dr. H. MUHAMMAD KADAFI, S.H., M.H.",Fraksi Partai Kebangkitan Bangsa,LAMPUNG I,"['Panitia Khusus', 'Komisi X']",Banda Aceh / 08 Oktober 1983,Islam,"
<div class=""stitle"">Riwayat Pendidikan</div>
<ul class=""custom-button"">
<li>SD , Madrasah Ibtidaiyah Negeri I Banda aceh. Tahun: 1989 - 1995</li><li>SMP , SMPN 1 Banda Aceh. Tahun: 1995 - 1998</li><li>SMA , SMAN 9 Bandar Lampung. Tahun: 1998 - 2001</li><li>S1 Ilmu Hukum, Universitas Lampung (Lulusan Terbaik Fakultas). Tahun: 2002 - 2006</li><li>S2 Ilmu Hukum, Magister Hukum Universitas Lampung. Tahun: 2007 - 2009</li><li>S3 Ilmu Hukum, Doktor Ilmu Hukum Universitas Diponegoro. Tahun: 2013 - 2016</li> </ul>
","
<div class=""stitle"">Riwayat Pekerjaan</div>
<ul class=""custom-button"">
<li>Kantor Walikota Bandar Lampung, Sebagai: Staff Ahli. Tahun: 2016 - 2021</li><li>Universitas Malahayati, Sebagai: Rektor. Tahun: 2010 - 2019</li><li>PT. Bintang Amin Husada (RS. Pertamina-Bintang Amin) , Sebagai: Presiden Direktur. Tahun:  - </li><li>Yayasan Babun Nadjah, Sebagai: Ketua Pembina Yayasan. Tahun:  - </li> </ul>
","
<div class=""stitle"">Riwayat Organisasi</div>
<ul class=""custom-button"">
<li>PW NU Prov Lampung, Sebagai: Wakil Ketua Tanfidziyah. Tahun: 2018 - 2023</li><li>KADIN Lampung , Sebagai: Ketua Umum. Tahun: 2017 - 2022</li><li>HKSN Provinsi Lampung, Sebagai: Ketua Pelaksana. Tahun: 2017 - </li><li>Persatuan Hobby Burung Kicau BNR Indonesia, Sebagai: Ketua Umum. Tahun: 2016 - 2020</li><li>MUI Prov. Lampung, Sebagai: Dewan Pertimbangan MUI. Tahun: 2016 - 2021</li><li>Koordinator Perguruan Tinggi LPTNU, Sebagai: Ketua. Tahun: 2015 - 2020</li><li>BPD HIPMI Lampung, Sebagai: Ketua Umum. Tahun: 2014 - 2017</li><li>Aliansi Pedagang Pasar Provinsi Lampung, Sebagai: Dewan Pakar. Tahun:  - </li><li>Asosiasi Penangkar Burung Nusantara , Sebagai: Pembina. Tahun:  - </li><li>Masyarakat Aceh Lampung, Sebagai: Ketua Pembina. Tahun:  - </li> </ul>
",Banda Aceh,37.0,6_s3,eksternal,non-dewan,"(23.0, 44.0]",5.0,PKB
8,http://www.dpr.go.id//doksigota/photo/1749.jpg,http://www.dpr.go.id//blog/profil/id/1749,"ELA SITI NURYAMAH, S.Sos.I.",Fraksi Partai Kebangkitan Bangsa,LAMPUNG II,"['Komisi XI', 'Panitia Khusus', 'Badan Legislasi']",Tasikmalaya / 03 Januari 1983,Islam,"
<div class=""stitle"">Riwayat Pendidikan</div>
<ul class=""custom-button"">
<li>SD , Karikil I. Tahun: 1989 - 1995</li><li>SMP , Mts Asy-Syuhada. Tahun: 1995 - 1999</li><li>SMA , MAN Tasikmalaya. Tahun: 1999 - 2001</li><li>S1 Komunikasi Islam, Univ SGD Bandung. Tahun: 2001 - 2007</li> </ul>
","
<div class=""stitle"">Riwayat Pekerjaan</div>
<ul class=""custom-button"">
<li><font color=""red""><i>Data tidak ditemukan.</i></font></li> </ul>
","
<div class=""stitle"">Riwayat Organisasi</div>
<ul class=""custom-button"">
<li><font color=""red""><i>Data tidak ditemukan.</i></font></li> </ul>
",Tasikmalaya,37.0,4_s1,eksternal,non-dewan,"(23.0, 44.0]",5.0,PKB
9,http://www.dpr.go.id//doksigota/photo/1399.jpg,http://www.dpr.go.id//blog/profil/id/1399,"H. CUCUN AHMAD SYAMSURIJAL, M.A.P.",Fraksi Partai Kebangkitan Bangsa,JAWA BARAT II,"['Komisi III', 'Badan Anggaran', 'Panitia Khusus']",Bandung / 08 Nopember 1972,Islam,"
<div class=""stitle"">Riwayat Pendidikan</div>
<ul class=""custom-button"">
<li>SD , MIN Sutam. Tahun: 1979 - 1985</li><li>SMP , SMP II Ciparay. Tahun: 1985 - 1988</li><li>SMA , SMA I Cipasung. Tahun: 1988 - 1991</li><li>S1 Peradilan Agama, IAIC Tasikmalaya. Tahun: 1991 - 1996</li><li>S2 Administrasi Publik, UNPAD Bandung. Tahun: 2017 - 2019</li> </ul>
","
<div class=""stitle"">Riwayat Pekerjaan</div>
<ul class=""custom-button"">
<li>1. CV. HS Putri, Sebagai: Comanditer. Tahun: 1997 - </li><li>2. PT. Ghaida Sugih Mulya, Sebagai: Direktur Utama. Tahun:  - </li><li>3. PT. Haji Saepudin, Sebagai: Manajer Pemasaran. Tahun:  - </li> </ul>
","
<div class=""stitle"">Riwayat Organisasi</div>
<ul class=""custom-button"">
<li>7. Garda Bangsa, Sebagai: Ketua. Tahun: 2015 - 2019</li><li>6. DPC PKB Kabupaten Bandung, Sebagai: Ketua. Tahun: 2010 - 2015</li><li>5. DPW PKB Jawa Barat, Sebagai: Bendahara Umum . Tahun: 2008 - 2011</li><li>3. PW LPNU Jawa Barat, Sebagai: Ketua. Tahun: 2005 - 2010</li><li>4. DPW PKB Jawa Barat, Sebagai: Wakil Bendahara. Tahun: 2005 - 2010</li><li>2. PC NU Kabupaten Bandung, Sebagai: Bendahara Umum. Tahun: 2004 - 2009</li><li>1. MWC NU Solokan Jeruk, Sebagai: Ketua. Tahun: 1998 - 2002</li> </ul>
",Bandung,48.0,5_s2,internal,non-dewan,"(44.0, 49.0]",5.0,PKB
10,http://www.dpr.go.id//doksigota/photo/1405.jpg,http://www.dpr.go.id//blog/profil/id/1405,"NENG EEM MARHAMAH ZULFA HIZ., M.M.",Fraksi Partai Kebangkitan Bangsa,JAWA BARAT III,"['Panitia Khusus', 'Komisi V', 'Badan Legislasi']",Cianjur / 08 Mei 1979,Islam,"
<div class=""stitle"">Riwayat Pendidikan</div>
<ul class=""custom-button"">
<li>SD , MI Al - Manar. Tahun: 1985 - 1991</li><li>SMP , MTsN Ciherang. Tahun: 1991 - 1994</li><li>SMA IPS, MAN Kandangan Kediri. Tahun: 1996 - 1999</li><li>S1 Tafsir Hadits, STAIN Kediri. Tahun:  - 2005</li><li>S2 Magister Manajemen, Univ. Tama Jagakarsa. Tahun:  - </li> </ul>
","
<div class=""stitle"">Riwayat Pekerjaan</div>
<ul class=""custom-button"">
<li>DPR RI, Sebagai: Anggota . Tahun: 2014 - 2019</li><li>DPR RI, Sebagai: Tenaga Ahli. Tahun: 2010 - 2014</li> </ul>
","
<div class=""stitle"">Riwayat Organisasi</div>
<ul class=""custom-button"">
<li>4. DPP PKB, Sebagai: Wabenum. Tahun: 2012 - 2014</li><li>2. PP Mulimat NU, Sebagai: Bidang Pendidikan. Tahun: 2010 - 2015</li><li>3. KOWANI, Sebagai: Bidang Moral Agama. Tahun: 2010 - 2015</li><li>1. KOPRI PB PMII, Sebagai: Ketua Umum. Tahun: 2007 - 2010</li> </ul>
",Cianjur,41.0,5_s2,internal,dewan,"(23.0, 44.0]",5.0,PKB
11,http://www.dpr.go.id//doksigota/photo/1750.jpg,http://www.dpr.go.id//blog/profil/id/1750,TOMMY KURNIAWAN,Fraksi Partai Kebangkitan Bangsa,JAWA BARAT V,"['Panitia Khusus', 'Komisi VI']",Tanggerang / 15 September 1984,Islam,"
<div class=""stitle"">Riwayat Pendidikan</div>
<ul class=""custom-button"">
<li>SD , SDN CIRENDEU I. Tahun: 1990 - 1996</li><li>SMP , SMPN I CIPUTAT. Tahun: 1996 - 1999</li><li>SMA , SMU DUA MEI CIPUTAT. Tahun: 1999 - 2002</li> </ul>
","
<div class=""stitle"">Riwayat Pekerjaan</div>
<ul class=""custom-button"">
<li>KEMENPORA, Sebagai: STAFF KHUSUS. Tahun: 2018 - 2019</li> </ul>
","
<div class=""stitle"">Riwayat Organisasi</div>
<ul class=""custom-button"">
<li>GARDA BANGSA, Sebagai: KETUA UMUM. Tahun: 2019 - 2024</li><li>GARDA BANGSA, Sebagai: KETUA. Tahun: 2016 - 2019</li> </ul>
",Tanggerang,36.0,2_sma,eksternal,non-dewan,"(23.0, 44.0]",5.0,PKB
12,http://www.dpr.go.id//doksigota/photo/1751.jpg,http://www.dpr.go.id//blog/profil/id/1751,H. SYAIFUL HUDA,Fraksi Partai Kebangkitan Bangsa,JAWA BARAT VII,"['Panitia Khusus', 'Komisi X']",Tuban / 12 April 1977,Islam,"
<div class=""stitle"">Riwayat Pendidikan</div>
<ul class=""custom-button"">
<li>SMA , . Tahun:  - </li> </ul>
","
<div class=""stitle"">Riwayat Pekerjaan</div>
<ul class=""custom-button"">
<li><font color=""red""><i>Data tidak ditemukan.</i></font></li> </ul>
","
<div class=""stitle"">Riwayat Organisasi</div>
<ul class=""custom-button"">
<li><font color=""red""><i>Data tidak ditemukan.</i></font></li> </ul>
",Tuban,43.0,2_sma,eksternal,non-dewan,"(23.0, 44.0]",5.0,PKB
13,http://www.dpr.go.id//doksigota/photo/56.jpg,http://www.dpr.go.id//blog/profil/id/56,"H. DEDI WAHIDI, S.Pd.",Fraksi Partai Kebangkitan Bangsa,JAWA BARAT VIII,"['Komisi V', 'Badan Urusan Rumah Tangga']",Indramayu / 15 Agustus 1957,Islam,"
<div class=""stitle"">Riwayat Pendidikan</div>
<ul class=""custom-button"">
<li>SD , SDN Kaplongan  . Tahun:  - 1970</li><li>SMP , PGAN Karangampel. Tahun:  - 1974</li><li>SMA , Al Jamiah Al Islamiyah Al Hukumiyah ( SPIAN). Tahun:  - 1977</li><li>S1 Bahasa Indonesaia, UNSWAGATI. Tahun:  - 1999</li> </ul>
","
<div class=""stitle"">Riwayat Pekerjaan</div>
<ul class=""custom-button"">
<li>5. DPR RI, Sebagai: Anggota. Tahun: 2009 - 2014</li><li>4. Kadipaten Indramayu, Sebagai: Wakil Bupati. Tahun: 2000 - 2005</li><li>3. DPRD Indramayu, Sebagai: Wakil Ketua. Tahun: 1999 - 2000</li><li>2. SMA NU Kaplongan, Sebagai: Kepala Sekolah. Tahun: 1996 - 2000</li><li>1. SMP NU Kaplongan, Sebagai: Kepala Sekolah. Tahun: 1983 - 1999</li> </ul>
","
<div class=""stitle"">Riwayat Organisasi</div>
<ul class=""custom-button"">
<li>6. DPW PKB, Sebagai: Ketua. Tahun: 2013 - </li><li>5. PBNU Jawa Barat, Sebagai: Ketua. Tahun: 2010 - 2013</li><li>4. PW NU Jawa Barat, Sebagai: Ketua. Tahun: 2006 - 2010</li><li>3. DPC PKB Indramayu, Sebagai: Ketua. Tahun: 1998 - 2006</li><li>2. PC LP Maárif  Indramayu, Sebagai: Ketua. Tahun: 1994 - 1998</li><li>1. PC GP Ansor, Indramayu, Sebagai: Ketua. Tahun: 1989 - 1999</li> </ul>
",Indramayu,63.0,4_s1,internal,dewan,"(61.0, 81.0]",5.0,PKB
14,http://www.dpr.go.id//doksigota/photo/1752.jpg,http://www.dpr.go.id//blog/profil/id/1752,H. MAMAN IMANUL HAQ,Fraksi Partai Kebangkitan Bangsa,JAWA BARAT IX,"['Komisi VIII', 'Panitia Khusus']",,,,,,,,0_no_data,no_data,no_data,nan,5.0,PKB
15,http://www.dpr.go.id//doksigota/photo/1432.jpg,http://www.dpr.go.id//blog/profil/id/1432,"H. YANUAR PRIHATIN, M.Si",Fraksi Partai Kebangkitan Bangsa,JAWA BARAT X,"['Panitia Khusus', 'Komisi II', 'Badan Legislasi']",Cirebon / 30 Desember 1970,Islam,"
<div class=""stitle"">Riwayat Pendidikan</div>
<ul class=""custom-button"">
<li>SD , SD Cipeujeuh II Cirebon. Tahun: 1977 - 1983</li><li>SMP , SMPN I Sindanglaut Cirebon. Tahun: 1983 - 1986</li><li>SMA , SMAN Sindanglaut Cirebon. Tahun: 1986 - 1989</li><li>S1 Administrasi Niaga, Universitas Jakarta. Tahun: 1989 - 1996</li><li>S2 Ilmu Politik, Universitas Indonesia. Tahun: 1999 - 2003</li> </ul>
","
<div class=""stitle"">Riwayat Pekerjaan</div>
<ul class=""custom-button"">
<li>6. Komisi II DPR RI, Sebagai: Tenaga Ahli. Tahun: 2005 - 2012</li><li>4. PT. Nirin Orbit Lintas, Sebagai: Direktur. Tahun: 2002 - 2003</li><li>5. PT KOSRINDO, Sebagai: Direktur. Tahun: 2001 - 2003</li><li>7. Universitas Jakarta , Sebagai: Dosen. Tahun: 1997 - 2001</li><li>1. FIA dan FISIP UI, Sebagai: Dosen. Tahun: 1997 - 2001</li><li>3. Majalah Vista TV, Sebagai: Stringer. Tahun: 1996 - 1997</li><li>2. LPPM Unija, Sebagai: Peneliti. Tahun: 1993 - 2001</li> </ul>
","
<div class=""stitle"">Riwayat Organisasi</div>
<ul class=""custom-button"">
<li>7. PP Lakpesdam NU, Sebagai: Bendahara. Tahun: 2015 - 2020</li><li>3. PP LWP NU, Sebagai: Bendahara. Tahun: 2009 - 2014</li><li>6. DPP PKB, Sebagai: Ketua DPP. Tahun: 2008 - </li><li>2. PP. LAKPESDAM NU, Sebagai: Wakil Sekretaris. Tahun: 2004 - 2009</li><li>4. DPC PKB Kota Bekasi , Sebagai: Wakil Sekretaris. Tahun: 2002 - 2007</li><li>5. DPP PKB, Sebagai: Anggota Departemen. Tahun: 2002 - 2005</li><li>1. PC. PMII DKI JARI, Sebagai: Sekretaris. Tahun: 1992 - 1993</li> </ul>
",Cirebon,50.0,5_s2,internal,dewan,"(49.0, 55.0]",5.0,PKB
